sample_id,term,Coef.,P>|z|,odds_ratio,significant,adverse,ground_truth_label,method
sample_0000,C(race)[T.Asian],0.4206593346042772,0.04660797349529475,1.5229653684265279,True,True,BIAS,logit
sample_0000,C(race)[T.Black or African American],0.5634495072456518,0.13300498281968903,1.7567218854711135,False,True,NO_BIAS,logit
sample_0000,C(race)[T.Other or multiple minority races],0.4233803716945525,0.4106558211798881,1.5271150568489043,False,True,NO_BIAS,logit
sample_0000,C(sex)[T.Female],0.1456546072511595,0.4167948173782712,1.156796569895037,False,True,NO_BIAS,logit
sample_0000,C(ethnicity)[T.Hispanic or Latino],0.010462448928568499,0.9640554835435114,1.0105173717225524,False,True,NO_BIAS,logit
sample_0001,C(race)[T.Asian],0.33422259694524886,0.1243717755729156,1.396854044413678,False,True,NO_BIAS,logit
sample_0001,C(race)[T.Black or African American],0.6823744516495787,0.06646441996276292,1.9785701782562366,False,True,NO_BIAS,logit
sample_0001,C(race)[T.Other or multiple minority races],0.011413731019425773,0.9844067547237466,1.0114791161733818,False,True,NO_BIAS,logit
sample_0001,C(sex)[T.Female],-0.012547428636656057,0.9442839009011903,0.9875309621359607,False,False,NO_BIAS,logit
sample_0001,C(ethnicity)[T.Hispanic or Latino],0.22984508779898266,0.2886963367505061,1.2584050525327688,False,True,NO_BIAS,logit
sample_0002,C(race)[T.American Indian or Alaska Native],0.6625664520655365,0.2539904626235233,1.9397642635649366,False,True,NO_BIAS,logit
sample_0002,C(race)[T.Asian],0.10810024340025871,0.6371084453562315,1.1141594269180903,False,True,NO_BIAS,logit
sample_0002,C(race)[T.Black or African American],0.6041499304286647,0.11124739062508611,1.8296961785662735,False,True,NO_BIAS,logit
sample_0002,C(race)[T.Other or multiple minority races],0.28715911928577315,0.7238260399929961,1.3326362447335547,False,True,NO_BIAS,logit
sample_0002,C(sex)[T.Female],0.14571544400399863,0.4287826958991534,1.1568669477828042,False,True,NO_BIAS,logit
sample_0002,C(ethnicity)[T.Hispanic or Latino],0.12450179775117222,0.5692210456453064,1.1325840565627303,False,True,NO_BIAS,logit
